# densidade, pressao, nb, mu
1.79255540225901E+016, 1.06582616278421E+037, 2.99699999999867E+040, 0.000355631
1.78362128257309E+016, 1.05985703315363E+037, 2.98800000000553E+040, 0.0003547045
1.77470713981169E+016, 1.05390386421594E+037, 2.97899999999847E+040, 0.0003537777
1.76581298068282E+016, 1.04796665804876E+037, 2.96999999999617E+040, 0.0003528507
1.7569388119244E+016, 1.04204541673913E+037, 2.96100000000767E+040, 0.0003519235
1.7480846402933E+016, 1.03614014238034E+037, 2.95200000000241E+040, 0.000350996
1.73925047259941E+016, 1.03025083708191E+037, 2.9429999999999E+040, 0.0003500682
1.73043631567838E+016, 1.02437750296161E+037, 2.93399999999667E+040, 0.0003491403
1.72164217640393E+016, 1.01852014214909E+037, 2.92499999999825E+040, 0.000348212
1.71286806168065E+016, 1.01267875678373E+037, 2.91599999999918E+040, 0.0003472835
1.70411397844827E+016, 1.00685334901596E+037, 2.90699999999372E+040, 0.0003463548
1.69537993368997E+016, 1.00104392100967E+037, 2.89799999999716E+040, 0.0003454258
1.68666593441513E+016, 9.95250474937132E+036, 2.88899999999904E+040, 0.0003444965
1.67797198767117E+016, 9.89473012982536E+036, 2.87999999999395E+040, 0.000343567
1.6692981005522E+016, 9.83711537344495E+036, 2.87100000000387E+040, 0.0003426372
1.66064428017037E+016, 9.77966050227663E+036, 2.86200000000079E+040, 0.0003417072
1.6520105336917E+016, 9.72236553853247E+036, 2.85300000000166E+040, 0.0003407769
1.6433968683114E+016, 9.66523050451775E+036, 2.84400000000155E+040, 0.0003398464
1.63480329126393E+016, 9.60825542266062E+036, 2.83499999999978E+040, 0.0003389155
1.62622980982221E+016, 9.55144031550969E+036, 2.82599999999689E+040, 0.0003379844
1.6176764312997E+016, 9.49478520574045E+036, 2.81699999999945E+040, 0.0003370531
1.60914316304329E+016, 9.43829011613421E+036, 2.80799999999999E+040, 0.0003361214
1.60063001244103E+016, 9.38195506960107E+036, 2.79899999999697E+040, 0.0003351895
1.59213698692404E+016, 9.32578008918549E+036, 2.78999999999899E+040, 0.0003342574
1.58366409395808E+016, 9.26976519804174E+036, 2.78100000000123E+040, 0.0003333249
1.57521134104907E+016, 9.21391041944999E+036, 2.77199999999935E+040, 0.0003323922
1.56677873574897E+016, 9.15821577683387E+036, 2.76300000000446E+040, 0.0003314591
1.55836628564027E+016, 9.10268129371489E+036, 2.75400000000029E+040, 0.0003305258
1.54997399835779E+016, 9.04730699377648E+036, 2.74500000000116E+040, 0.0003295922
1.54160188156983E+016, 8.99209290080887E+036, 2.73600000000003E+040, 0.0003286584
1.53324994299032E+016, 8.93703903874484E+036, 2.72700000000047E+040, 0.0003277242
1.52491819037333E+016, 8.88214543164348E+036, 2.71800000000067E+040, 0.0003267898
1.51660663151684E+016, 8.82741210370156E+036, 2.70900000000275E+040, 0.000325855
1.50831527425759E+016, 8.77283907923846E+036, 2.69999999999775E+040, 0.00032492
